Rank,Model,CV Accuracy,CV Std,Accuracy,Precision,Recall,F1,AUC,Training Time
1,SVM (RBF),0.946625,0.0030000000000000053,0.9635,0.9634421811651385,0.9635,0.9634499933383607,0.9939252498311366,9.308554887771606
2,Gradient Boosting,0.914625,0.0034141250709369274,0.9315,0.9312962431676827,0.9315,0.9313416227381133,0.9822163096000971,7.206689357757568
3,Random Forest,0.91175,0.0035663356544217814,0.9275,0.9272949953026747,0.9275,0.9273553259843375,0.9808074914702368,5.631269216537476
4,Logistic Regression,0.861375,0.005539629951540098,0.875,0.8751555048724861,0.875,0.8750740601389952,0.9510426228372504,3.191526174545288
5,KNN,0.8695,0.004716990566028322,0.8755,0.8757322827694277,0.8755,0.8733099780121768,0.938257720085211,5.637824058532715
6,Decision Tree,0.83825,0.008152836929560136,0.8455,0.8456415879049695,0.8455,0.8455687994291892,0.8718722397339753,2.7827351093292236
